,player_id,season,cleaned_name,team,id_season
0,00-0000108,2009,David Akers,PHI,00-0000108_2009
1,00-0000108,2010,David Akers,PHI,00-0000108_2010
2,00-0000108,2011,David Akers,SF,00-0000108_2011
3,00-0000108,2012,David Akers,SF,00-0000108_2012
4,00-0000108,2013,David Akers,DET,00-0000108_2013
5,00-0000865,2009,Charlie Batch,PIT,00-0000865_2009
6,00-0000865,2010,Charlie Batch,PIT,00-0000865_2010
7,00-0000865,2011,Charlie Batch,PIT,00-0000865_2011
8,00-0000865,2012,Charlie Batch,PIT,00-0000865_2012
9,00-0001477,2009,Marty Booker,ATL,00-0001477_2009
10,00-0001545,2010,Todd Bouman,JAX,00-0001545_2010
11,00-0001980,2009,Kris Brown,HST,00-0001980_2009
12,00-0001980,2010,Kris Brown,DAL,00-0001980_2010
13,00-0002099,2009,Isaac Bruce,SF,00-0002099_2009
14,00-0002110,2009,Mark Brunell,NO,00-0002110_2009
15,00-0002110,2010,Mark Brunell,NYJ,00-0002110_2010
16,00-0002110,2011,Mark Brunell,NYJ,00-0002110_2011
17,00-0002655,2009,John Carney,NO,00-0002655_2009
18,00-0002655,2010,John Carney,NO,00-0002655_2010
19,00-0003035,2009,Desmond Clark,CHI,00-0003035_2009
20,00-0003035,2010,Desmond Clark,CHI,00-0003035_2010
21,00-0003292,2009,Kerry Collins,TEN,00-0003292_2009
22,00-0003292,2010,Kerry Collins,TEN,00-0003292_2010
23,00-0003292,2011,Kerry Collins,IND,00-0003292_2011
24,00-0003315,2009,Todd Collins,WAS,00-0003315_2009
25,00-0003315,2010,Todd Collins,CHI,00-0003315_2010
26,00-0003739,2009,Daunte Culpepper,DET,00-0003739_2009
27,00-0004091,2009,Phil Dawson,CLV,00-0004091_2009
28,00-0004091,2010,Phil Dawson,CLV,00-0004091_2010
29,00-0004091,2011,Phil Dawson,CLV,00-0004091_2011
30,00-0004091,2012,Phil Dawson,CLV,00-0004091_2012
31,00-0004091,2013,Phil Dawson,SF,00-0004091_2013
32,00-0004091,2014,Phil Dawson,SF,00-0004091_2014
33,00-0004091,2015,Phil Dawson,SF,00-0004091_2015
34,00-0004091,2016,Phil Dawson,SF,00-0004091_2016
35,00-0004091,2017,Phil Dawson,ARI,00-0004091_2017
36,00-0004091,2018,Phil Dawson,ARI,00-0004091_2018
37,00-0004161,2009,Jake Delhomme,CAR,00-0004161_2009
38,00-0004161,2010,Jake Delhomme,CLV,00-0004161_2010
39,00-0004161,2011,Jake Delhomme,HST,00-0004161_2011
40,00-0004541,2009,Donald Driver,GB,00-0004541_2009
41,00-0004541,2010,Donald Driver,GB,00-0004541_2010
42,00-0004541,2011,Donald Driver,GB,00-0004541_2011
43,00-0004541,2012,Donald Driver,GB,00-0004541_2012
44,00-0004811,2009,Jason Elam,ATL,00-0004811_2009
45,00-0004915,2009,Bobby Engram,KC,00-0004915_2009
46,00-0005091,2009,Kevin Faulk,NE,00-0005091_2009
47,00-0005091,2010,Kevin Faulk,NE,00-0005091_2010
48,00-0005091,2011,Kevin Faulk,NE,00-0005091_2011
49,00-0005106,2009,Brett Favre,MIN,00-0005106_2009
50,00-0005106,2010,Brett Favre,MIN,00-0005106_2010
51,00-0005231,2009,Brian Finneran,ATL,00-0005231_2009
52,00-0005231,2010,Brian Finneran,ATL,00-0005231_2010
53,00-0005720,2009,Joey Galloway,NE,00-0005720_2009
54,00-0005720,2010,Joey Galloway,WAS,00-0005720_2010
55,00-0005755,2009,Jeff Garcia,PHI,00-0005755_2009
56,00-0005755,2011,Jeff Garcia,HST,00-0005755_2011
57,00-0006101,2009,Tony Gonzalez,ATL,00-0006101_2009
58,00-0006101,2010,Tony Gonzalez,ATL,00-0006101_2010
59,00-0006101,2011,Tony Gonzalez,ATL,00-0006101_2011
60,00-0006101,2012,Tony Gonzalez,ATL,00-0006101_2012
61,00-0006101,2013,Tony Gonzalez,ATL,00-0006101_2013
62,00-0006305,2009,Ahman Green,GB,00-0006305_2009
63,00-0006410,2010,Chris Greisen,DAL,00-0006410_2010
64,00-0006410,2011,Chris Greisen,DAL,00-0006410_2011
65,00-0006800,2009,Jason Hanson,DET,00-0006800_2009
66,00-0006800,2010,Jason Hanson,DET,00-0006800_2010
67,00-0006800,2011,Jason Hanson,DET,00-0006800_2011
68,00-0006800,2012,Jason Hanson,DET,00-0006800_2012
69,00-0007091,2009,Matt Hasselbeck,SEA,00-0007091_2009
70,00-0007091,2010,Matt Hasselbeck,SEA,00-0007091_2010
71,00-0007091,2011,Matt Hasselbeck,TEN,00-0007091_2011
72,00-0007091,2012,Matt Hasselbeck,TEN,00-0007091_2012
73,00-0007091,2013,Matt Hasselbeck,IND,00-0007091_2013
74,00-0007091,2014,Matt Hasselbeck,IND,00-0007091_2014
75,00-0007091,2015,Matt Hasselbeck,IND,00-0007091_2015
76,00-0007213,2009,Steve Heiden,CLV,00-0007213_2009
77,00-0007681,2009,Torry Holt,JAX,00-0007681_2009
78,00-0008241,2009,Edgerrin James,SEA,00-0008241_2009
